"PC1","PC2","group","organ","name"
-93.3566461586599,91.713918954857,"muscle","muscle","muscle_ERR6664141"
-97.7547497230365,95.3257165351074,"muscle","muscle","muscle_ERR6664148"
-100.363578280719,100.411104180787,"muscle","muscle","muscle_ERR6664155"
-99.1228782145745,99.265425207618,"muscle","muscle","muscle_ERR6664162"
-100.255287528128,99.8479294239327,"muscle","muscle","muscle_ERR6664169"
-90.9354892868595,104.610401138456,"muscle","muscle","muscle_ERR6664176"
-97.1828684834663,97.0353687242066,"muscle","muscle","muscle_ERR6664183"
-92.3434934796684,100.051865893501,"muscle","muscle","muscle_ERR6664190"
-86.2127183143792,94.1558577218012,"muscle","muscle","muscle_ERR6664197"
-86.2304211592593,102.162457088515,"muscle","muscle","muscle_ERR6664204"
-90.5910260444156,91.1234477511977,"muscle","muscle","muscle_ERR6664211"
