"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","external_gene_name","description","comparacion"
"ENSSSAG00000080754",206.136246046143,-0.700540668177676,0.625024847773493,-1.12082050925366,0.262364272321452,0.308757913934337,"trim55b","tripartite motif containing 55b [Source:ZFIN;Acc:ZDB-GENE-060312-37]","brain vs gonad"
"ENSSSAG00000084573",745.639964161306,3.28013319236233,1.08396763105301,3.02604348911772,0.0024777666221324,0.00398501790422861,"trim63a","tripartite motif containing 63a [Source:ZFIN;Acc:ZDB-GENE-040625-139]","brain vs gonad"
"ENSSSAG00000085640",37.0024612155429,-0.886837272154131,0.801154897690836,-1.1069485747516,0.268316162757887,0.315048316281076,"trim25l","tripartite motif containing 25, like [Source:ZFIN;Acc:ZDB-GENE-040914-87]","brain vs gonad"
"ENSSSAG00000086871",255.200653210745,3.41847361608908,0.466202559849697,7.33259297673354,2.25741751501003e-13,9.5563683163494e-13,"trim16","tripartite motif containing 16 [Source:ZFIN;Acc:ZDB-GENE-090512-6]","brain vs gonad"
"ENSSSAG00000090707",129.906914838254,6.89748399794707,0.849286347399431,8.12150580198022,4.60434812927092e-16,2.44556875915177e-15,"trim110","tripartite motif containing 110 [Source:ZFIN;Acc:ZDB-GENE-070912-10]","brain vs gonad"
"ENSSSAG00000092341",971.404192184371,3.36149129466413,0.940406711414787,3.5745079802833,0.000350887111158904,0.000624027429647094,"trim63a","tripartite motif containing 63a [Source:ZFIN;Acc:ZDB-GENE-040625-139]","brain vs gonad"
"ENSSSAG00000092379",35.5068805054884,-0.960141223071887,0.789520739375043,-1.21610639871462,0.223944393347277,0.267270438582577,"trim35-12","tripartite motif containing 35-12 [Source:ZFIN;Acc:ZDB-GENE-110920-4]","brain vs gonad"
"ENSSSAG00000093150",31.3324647346441,-7.78454753589151,0.969313431651849,-8.0309910929693,9.66883738605817e-16,4.99151343080915e-15,"trim71","tripartite motif containing 71, E3 ubiquitin protein ligase [Source:ZFIN;Acc:ZDB-GENE-040128-1]","brain vs gonad"
"ENSSSAG00000093151",33.591190578657,-1.39533297754237,0.374144451524691,-3.72939641856559,0.000191938986554763,0.000352609086062208,"","tripartite motif containing 62, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-070112-502]","brain vs gonad"
"ENSSSAG00000094514",587.056560022385,0.721254068119772,0.181681446218111,3.96988290842806,7.19079607526512e-05,0.000138194257090025,"","tripartite motif containing 8b [Source:ZFIN;Acc:ZDB-GENE-030131-4325]","brain vs gonad"
"ENSSSAG00000096494",280.918378325705,3.37539790474507,0.370876534944248,9.10113632627763,8.93915946335311e-20,6.47148270676905e-19,"trim3b","tripartite motif containing 3b [Source:ZFIN;Acc:ZDB-GENE-070112-1132]","brain vs gonad"
"ENSSSAG00000097565",38.2507168235456,-4.56434155510826,0.86049695545085,-5.30430877900876,1.13100729636101e-07,2.90848462537016e-07,"trim25l","tripartite motif containing 25, like [Source:ZFIN;Acc:ZDB-GENE-040914-87]","brain vs gonad"
"ENSSSAG00000103531",1611.43918587146,-0.248725035376867,0.372465113440122,-0.667780756913364,0.504273551692974,0.554849493148023,"trim63b","tripartite motif containing 63b [Source:ZFIN;Acc:ZDB-GENE-040426-1003]","brain vs gonad"
"ENSSSAG00000104684",139.605888339564,3.75672664049405,0.433509288579954,8.66585039688528,4.48155124156482e-18,2.82004722565423e-17,"trim9","tripartite motif containing 9 [Source:ZFIN;Acc:ZDB-GENE-030131-8043]","brain vs gonad"
"ENSSSAG00000106355",51.0174121987124,3.02115963457133,0.531748790873282,5.68155430990211,1.33476115344179e-08,3.72674286586193e-08,"trim46a","tripartite motif containing 46a [Source:ZFIN;Acc:ZDB-GENE-110825-1]","brain vs gonad"
"ENSSSAG00000111255",221.74171531196,-1.41700724143918,0.237659991403409,-5.96232976813469,2.48666658816555e-09,7.43194681419187e-09,"TRIM32","tripartite motif containing 32 [Source:HGNC Symbol;Acc:HGNC:16380]","brain vs gonad"
"ENSSSAG00000001445",644.603523417073,3.64341373067256,0.963576412433308,3.78113627903353,0.000156114181567821,0.00026833900070548,"trim35-13","tripartite motif containing 35-13 [Source:ZFIN;Acc:ZDB-GENE-110920-5]","brain vs kidney"
"ENSSSAG00000002615",5.13625488560217,0.164974649489972,1.3121754943452,0.12572605585223,0.899948775934785,0.91895649657865,"trim16","tripartite motif containing 16 [Source:ZFIN;Acc:ZDB-GENE-090512-6]","brain vs kidney"
"ENSSSAG00000005112",77.2840269344642,3.90048655057919,0.364695547213025,10.6951855606311,1.07204853445053e-26,7.08955152424876e-26,"trim2a","tripartite motif containing 2a [Source:ZFIN;Acc:ZDB-GENE-050327-99]","brain vs kidney"
"ENSSSAG00000005827",170.163496941861,11.1613131398633,0.910518137864882,12.2581996730301,1.51835785919674e-34,1.54471440843915e-33,"trim46b","tripartite motif containing 46b [Source:ZFIN;Acc:ZDB-GENE-060503-466]","brain vs kidney"
"ENSSSAG00000007291",157.954008735429,0.848219001080972,0.126294113649032,6.7162195970443,1.86499670754133e-11,5.2209521566463e-11,"tri13","Tripartite motif-containing protein 13 [Source:NCBI gene (formerly Entrezgene);Acc:100194870]","brain vs kidney"
"ENSSSAG00000008294",549.314231485424,1.48985478822626,0.142540023754939,10.4521856316489,1.43186778162749e-25,8.8734161292607e-25,"trim37","tripartite motif containing 37 [Source:ZFIN;Acc:ZDB-GENE-030131-2957]","brain vs kidney"
"ENSSSAG00000008335",179.221759682319,-0.923693914767982,0.273647359042286,-3.37548996635939,0.000736843788349744,0.00119157420182319,"trim35-14","tripartite motif containing 35-14 [Source:ZFIN;Acc:ZDB-GENE-110920-6]","brain vs kidney"
"ENSSSAG00000008703",374.312113771664,3.98966337967017,0.240469852005895,16.5911167091846,8.08038667224462e-62,3.12141754711369e-60,"trim2a","tripartite motif containing 2a [Source:ZFIN;Acc:ZDB-GENE-050327-99]","brain vs kidney"
"ENSSSAG00000009437",141.891736454046,-0.3432717808158,0.491947477047585,-0.6977813625063,0.48531393635028,0.535671934531378,"trim69","tripartite motif containing 69 [Source:ZFIN;Acc:ZDB-GENE-030131-857]","brain vs kidney"
"ENSSSAG00000009598",10.2235756774653,2.51322959572783,1.11157595914004,2.26096073332872,0.0237616887089481,0.0326295679119233,"trim107","tripartite motif containing 107 [Source:ZFIN;Acc:ZDB-GENE-110919-5]","brain vs kidney"
"ENSSSAG00000009878",44.2522448534507,0.79692548391453,0.211088715688988,3.77531068543094,0.000159808356577278,0.000274496247997481,"trim47","tripartite motif containing 47 [Source:ZFIN;Acc:ZDB-GENE-040426-1000]","brain vs kidney"
"ENSSSAG00000025371",43.6934750246884,9.41370525421486,0.768147491610679,12.255075173748,1.57802945262541e-34,1.6041731088408e-33,"trim46a","tripartite motif containing 46a [Source:ZFIN;Acc:ZDB-GENE-110825-1]","brain vs kidney"
"ENSSSAG00000025557",468.116865651727,1.29794622408742,0.118220212127892,10.9790551101641,4.8193819795394e-28,3.43819410545416e-27,"trim33","tripartite motif containing 33 [Source:ZFIN;Acc:ZDB-GENE-030131-2773]","brain vs kidney"
"ENSSSAG00000034367",50.6385075598719,8.44036145481457,0.842464530130986,10.0186549735242,1.26208756116699e-23,7.05721494378156e-23,"trim9","tripartite motif containing 9 [Source:ZFIN;Acc:ZDB-GENE-030131-8043]","brain vs kidney"
"ENSSSAG00000040244",122.035451607306,-0.440633992034733,0.254277974446708,-1.7328830505022,0.0831164574536893,0.105925800568865,"TRIM32","tripartite motif containing 32 [Source:HGNC Symbol;Acc:HGNC:16380]","brain vs kidney"
"ENSSSAG00000044254",154.169393935951,7.1855902387901,0.513934065856555,13.9815410500453,2.02064752188393e-44,3.35141999515851e-43,"trim2b","tripartite motif containing 2b [Source:ZFIN;Acc:ZDB-GENE-090312-70]","brain vs kidney"
"ENSSSAG00000044389",743.0309695467,2.91559010629466,1.01418797824088,2.87480247138384,0.00404280332142561,0.00605409141159442,"trim35-13","tripartite motif containing 35-13 [Source:ZFIN;Acc:ZDB-GENE-110920-5]","brain vs kidney"
"ENSSSAG00000044392",214.829004736019,5.92301295054149,0.488533355001699,12.1240707310986,7.87483653484911e-34,7.70755031689712e-33,"trim36","tripartite motif containing 36 [Source:ZFIN;Acc:ZDB-GENE-040426-2936]","brain vs kidney"
"ENSSSAG00000044852",430.727004081644,0.390394161075167,0.154488798244817,2.52700626524723,0.0115039450480063,0.0164169013277295,"trim33","tripartite motif containing 33 [Source:ZFIN;Acc:ZDB-GENE-030131-2773]","brain vs kidney"
"ENSSSAG00000046769",616.6427765946,1.2212617212696,0.430293647590548,2.83820532352296,0.00453679885183393,0.006760797620066,"trim3a","tripartite motif containing 3a [Source:ZFIN;Acc:ZDB-GENE-080522-4]","brain vs kidney"
"ENSSSAG00000046838",699.050328738303,0.533402038975525,0.210625400853139,2.5324677689157,0.0113262782102837,0.0161735028897594,"trim25","tripartite motif containing 25 [Source:ZFIN;Acc:ZDB-GENE-040426-797]","brain vs kidney"
"ENSSSAG00000047165",603.755200311661,4.07392326527809,0.249495105131858,16.328670108077,6.17150028607127e-60,2.18984936395085e-58,"trim3a","tripartite motif containing 3a [Source:ZFIN;Acc:ZDB-GENE-080522-4]","brain vs kidney"
"ENSSSAG00000049116",68.5911762907791,1.88043228223384,0.219428632599641,8.5696759805489,1.0377661999626e-17,4.16903431704236e-17,"trim13","tripartite motif containing 13 [Source:ZFIN;Acc:ZDB-GENE-050522-516]","brain vs kidney"
"ENSSSAG00000049938",31.240687946898,0.645864999864616,0.892387579081025,0.723749427944441,0.469219581960031,0.519648361458334,"trim35-12","tripartite motif containing 35-12 [Source:ZFIN;Acc:ZDB-GENE-110920-4]","brain vs kidney"
"ENSSSAG00000054152",593.380797347788,-0.24623767248955,0.247131616711217,-0.996382720132846,0.319064225634131,0.367147655775332,"trim25","tripartite motif containing 25 [Source:ZFIN;Acc:ZDB-GENE-040426-797]","brain vs kidney"
